PE,AT,V,AP,RH
454.36,20.28,68.63,1012.42,70.31
481.85,9.72,41.44,1015.17,84.41
438.5,22.98,73.17,1011.94,90.13
428.87,29.23,68.14,1004.31,81.46
441,27.94,63.07,1010.75,38.57
442.27,23.14,58.95,1017.52,66.25
434.68,25.33,71.32,1007.05,85.31
455.37,20.31,49.69,1011.57,69.03
431.55,28.59,80.18,1011.36,89.18
436.58,31.23,68.67,1005.82,52.1
456.89,19.68,56.65,1020.75,67.25
451.22,19.83,46.33,1013.27,96.4
432.33,33.97,72.29,1008.98,44.32
471.23,12.72,40.6,1013.45,86.16
479.68,7.77,35.77,1016.53,73.79
448.56,22.72,63.73,1012.63,82.14
428.77,31.25,69.51,1010.25,36.83
444.69,23.2,48.41,1008.64,80.92
449.13,19.65,62.1,1019.46,77.82
431.31,32.11,78.05,1010.36,58.78
446.67,25.08,51.43,1011.8,71.98
485.86,6.42,35.57,1025.58,79.63
481.58,9.88,40,1021.4,92.06
450.81,18.62,59.15,1012.85,82.54
465.78,18.22,39.63,1005.11,79
436.65,26.65,66.48,1005.7,65.09
443.73,6.22,39.85,1012.05,86.88
480.62,10.29,41.74,1019.9,80.51
489.03,5.97,40.35,1012.3,94.1
430.42,27.51,71.29,1009.43,76.92
439.44,29.86,59.57,1011.24,64.02
451,22.12,49.39,1019.8,72.83
473.27,13.42,42.86,1013.88,85.13
485.03,7.67,41.66,1016.25,77
430.36,29.72,68.08,1010.72,53.46
448.84,21.98,58.79,1010.72,86.85
478.75,10.8,41.39,1019.74,74.08
475.64,12.19,41.17,1019.43,65.47
445.25,24.54,60.23,1011.55,72.78
479.03,10.42,44.85,1014.18,88.36
440.74,23.63,60.37,1005,81.66
465.95,14.89,39.58,1012.26,77.58
440.68,23.68,49.02,1007.53,86.05
466.68,12.57,43.8,1023.2,56.85
438.5,26.34,69.45,1013.87,54.15
443.23,23.2,61.02,1009.63,79.45
432.94,26.04,72.43,1006.82,84.88
472.9,11.48,37.92,1008.47,70.55
438.25,28.42,73.4,1011.39,62.72
445.66,27.49,63.78,1015.43,47.45
438.59,23.66,60.37,1006.91,87.13
438.12,33.2,73.88,1005.67,48.48
465.13,13.94,47.83,1004.83,81.2
465.86,10.24,41.58,1021.17,94.34
440.87,27.54,75.6,1018.26,57.89
457.29,21.98,55.5,1017.89,57.9
438.09,29.69,47.93,1002.85,44.76
465.24,13.97,53.82,1016.81,62.32
442.85,21.41,59.43,1010.27,74.54
463.92,15.48,44.99,1011.94,69.95
439.4,26.76,49.02,1007.96,70.05
441.9,22.01,60.84,1017.55,83.82
440.08,23.77,59.21,1011.97,80.08
466.27,15.29,41.35,1006.32,82.56
432.77,25.72,72.39,1003.01,86.38
445.29,22.2,59.21,1017.87,73.34
438.74,30.96,69.82,1009.6,51.55
435.41,26.26,73.06,1009.35,91.65
427.04,29.71,73.18,1012.35,63.06
480.56,8.77,40.77,1011.54,89.58
441.9,22.24,69.23,1011.83,79.37
459.11,18.51,50.9,1012.95,82.71
449.28,19.29,67.71,1007.94,63.71
474.29,11.54,40.05,1014.78,87.05
462.25,13.79,42.07,1018.27,88.06
434.91,30.21,71.32,1006.19,67.57
445.39,20.89,67.71,1006.12,59.12
490.55,1.81,39.42,1026.92,76.97
484.42,5.04,40.64,1021.35,93.63
482.8,8.75,40.22,1008.96,90.53
460.2,21.5,44.58,1016.87,57.58
427.01,28.86,73.18,1012.46,68.8
449.91,20.74,58.12,1015.43,77.88
442.77,25.24,57.17,1010.44,74
435.78,26.01,61.47,1009.54,75.01
481.59,9.41,41.54,1019.48,82.19
435.9,25.24,68.28,1000.26,78.17
448.79,20.21,59.14,1016,70.38
445.87,25.87,63.47,1011.54,65.45
451.21,22.32,59.8,1016.82,64.18
447.86,23.64,60.95,1014.92,64.91
443.42,23.07,65.27,1013.24,58.38
442.13,23.47,59.22,1013.44,83.33
479.87,9.3,40.56,1022.64,76.14
449.66,19.8,58.79,1017.04,87.71
462.87,10.2,41.62,1016.52,98.09
463.72,16.05,41.96,1011.82,96.05
433.18,26.93,72.99,1007.33,78.85
449.44,19.58,50.12,1009.82,100.1
474.07,10.95,39.22,1015.69,62.3
470.39,13.67,38.53,1009.3,81.85
467.39,13.86,41.78,1010.75,57.9
431.52,28.9,71.25,1000.73,77.24
468.06,13.94,44.84,1023.69,95.3
464.33,16.25,40.89,1011.09,62.7
462.59,15.62,40.12,1013.03,96.26
438.55,25.07,77.95,1012.87,83
452.55,19.41,64.45,1009.44,64.05
434.25,26.63,74.22,1007.44,78.5
494.84,6.58,40.67,1020.18,71.07
469.62,13.19,39.18,1023.67,66.78
449.84,20.15,65.59,1014.62,79.39
474.19,13.35,41.39,1019.17,72.87
439.74,27.99,66.91,1008.47,59.63
452.66,20.25,57.76,1016.28,77.76
457.55,18.99,56.65,1020.46,77.16
477.51,8.51,41.26,1023.17,87.79
437.82,29.45,70.02,1010.28,65.93
453.03,19.95,57.25,1011.08,88.04
480.96,8.58,40.72,1022.04,87.55
438.53,28.9,68.12,1011.87,46.56
432.05,28.71,71.64,1005.21,71.11
441.33,27.16,65.61,1014.21,47.93
474.1,9.38,40.46,1019.29,75.77
465.31,13.9,45.08,1023.29,83.43
482.26,10.2,40.67,1016.15,73.2
426.6,27.57,69.84,1004.91,68.37
463.49,13.86,40.66,1017.15,83.82
473.26,12.24,44.92,1023.74,88.21
481.29,2.64,39.64,1011.02,85.24
463.38,17.14,41.66,1010.97,57.66
478.42,9.48,44.71,1019.12,66.43
467.74,15.18,43.67,1011.59,92.58
447.86,22.74,58.12,1015.16,79.58
443.43,23.66,67.17,1007.24,87.56
461.84,19.09,42.44,1012.93,63.59
446.26,20.98,60.07,1016.26,67.18
464.37,13.88,39.16,1010.8,75.69
463.29,16.34,42.28,1008.08,52.8
449.57,16.82,47.45,1010.19,88.48
451.71,20.47,63.07,1012.79,88.67
440.36,24.84,56.89,1012.15,67.24
441.3,25.45,57.32,1011.7,47.09
462.87,14.71,44,1024.98,85.08
444.28,18.58,64.45,1009.68,67.57
479.91,8.27,39.64,1011,84.64
451.95,14.56,47.45,1009.52,91.14
467.6,9.76,41.01,1019.66,97.59
436.61,28.13,61.25,1013.12,62.57
462.66,15.74,43.71,1024.7,78.38
448.82,20.56,59.14,1016.02,68.59
444.73,22.26,69.04,1010.48,84.33
454.06,18.23,45.01,1012.24,73.86
448.19,24.35,58.79,1010.13,72.1
447.89,20.72,68.61,1011.25,87.1
442.46,25.78,47.93,1003.67,67.23
478.99,11.64,41.44,1016.4,73.18
444.91,21.71,65.27,1013.24,63.58
480.05,6.99,35.19,1019.32,68.95
428.88,27.38,70.04,1011.18,72.26
434.56,27.7,72.24,1011.02,67.6
447.03,23.84,49.21,1013.6,47.63
438.03,31.26,68.94,1005.94,39.49
477.17,12.48,39.85,1012.93,60.23
432.76,30.67,72.86,1004.25,52.72
435.21,26.02,71.94,1009.38,64.12
439.52,24.19,68.94,1007.37,70.83
447.34,23.05,68.67,1006.69,76.43
432.26,29.15,73.42,1011.43,66.49
454.54,20.12,56.53,1020.34,75.59
475.36,13.43,43.69,1016.21,73.01
444.02,22.7,66.44,1011.19,68.36
464.64,9.93,41.62,1013.76,96.02
452.39,21.18,60.1,1011.02,78.19
471.63,13.86,35.71,1015.21,63.16
436.3,26.88,69.51,1012.76,45.03
468.15,13.38,40.12,1013.92,96.96
465.2,18.55,43.69,1016.84,47.95
479.61,6.03,41.14,1028.04,87.46
470.88,13.18,40.03,1017.75,82.29
430.7,31.24,72.39,999.47,68.17
460.7,15.99,43.5,1021.34,73.22
438.31,30.44,68.84,1010.97,55.34
449.32,18.9,58.46,1016.74,87.65
457.35,17.82,49.15,1020.73,70.25
435.14,31.13,67.45,1015.02,41.34
451.19,19.53,66.54,1013.72,81.46
442.03,24.03,58.46,1015.71,70.15
444.6,22.59,65.06,1014.36,62.44
431.29,26.13,79.74,1005.61,90.27
441.21,25.02,60.77,1016.71,69.85
444.19,25.95,59.27,1010.9,70.42
460.15,15.14,39.72,1002.96,72.52
442.02,20.99,67.07,1005.17,82.41
478.13,9.89,40.64,1020.59,98.35
430.26,29.01,70.04,1010.02,57.35
430.2,30.53,73.21,1000.37,74.17
482.39,8.51,38.5,1013.33,64.28
471.73,13.53,42.86,1014,90.63
448.26,19.18,65.06,1015.99,77.06
432.41,25.99,71.32,1007.17,83.23
454.39,20.6,60.08,1017.84,75.92
473.09,10.02,52.75,1021.93,73.68
465,14.22,42.32,1015.54,77.23
441.68,25.64,70.72,1010.16,84
481.98,7.57,37.49,1009.73,83.07
456.16,17.67,50.88,1015.64,90.55
447.31,21.96,58.79,1012.1,88.74
467.22,14.28,42.74,1028.79,70.67
445.57,23.46,59.27,1010.6,79.79
438.56,34.61,73.03,1013.61,36.91
476.31,10.98,41.39,1017.54,85.31
474.35,12.55,38.91,1012.58,75.44
457.17,19.85,56.53,1020.57,74.05
479.4,7.77,41.82,1032.72,72.8
446.02,24.38,63.91,1009.53,79.11
473.55,8.64,39.69,1001.57,98.27
437.71,29.12,51.43,1005.93,60.66
462.86,14.19,49.83,1006.52,90.72
440.87,24.19,46.21,1010.79,62.04
472.95,12.99,41.93,1020.25,74.64
433.42,25.52,71.98,1006.89,86.94
426.66,28.88,66.56,1006.26,59.15
444.01,24.23,58.79,1009.8,75.75
429.7,25.1,71.77,1004.34,82.8
431.09,32.1,69.98,1013.31,55.84
432.56,26.16,70.04,1009.63,73.22
473.57,9.04,40.11,1023.3,76.32
476.01,7.5,40.02,1031.39,82.53
464.03,12.21,40.64,1020.31,83.84
451.81,26.36,54.5,1015.35,66.87
469.08,13.5,45.51,1015.33,86.95
441.07,26.38,65.12,1016.1,47.57
447.06,27.71,66.93,1016.85,58.77
475.42,12.6,40.35,1011.89,80.88
447.95,22.05,61.27,1019.6,58.83
439.21,15.61,38.52,1018.4,80.99
446.28,19.66,59.87,1018.75,87.6
434.66,30.2,69.59,1008.9,67.32
439.55,26.21,56.85,1011.45,41.37
477.36,9.34,40.77,1012.14,90.81
489.02,8.79,40.67,1019.5,66.3
427.77,24.9,71.77,1006.24,85.25
435.57,30.51,60.75,1009.86,51
459.01,16.81,38.52,1018.26,75.21
467.92,13.49,41.78,1010.66,63.34
486.76,7.24,41.17,1020.35,80.56
470.46,13.25,34.03,1018.94,72.1
476.32,10.94,40.81,1026.03,80.79
470.79,14.62,42.86,1015.56,84.5
441.71,21.19,67.71,1006.65,56.28
436.17,26.14,61.02,1010.13,66.71
456.7,17.94,63.07,1012.42,94.35
472.32,10.53,37.5,1008.55,99.91
444.64,20.92,70.02,1010.23,95.58
433.04,29.45,64.96,1005.52,59.92
460.82,17.06,52.9,1019.76,80.9
441.9,22.29,56.89,1014.39,84.89
468.88,10.64,41.04,1025,93.59
438.76,27.34,71.64,1008.12,72.22
464.62,16.56,42.99,1007.48,74.45
433.56,27.52,74.67,1015.77,72.01
480.73,8.68,43.14,1011.94,79.06
431.72,27.73,67.69,1007.47,59.42
454.47,18.84,61.27,1019.64,71.95
474.69,11.26,44.92,1023.63,88.99
446.08,22.92,61.9,1013.27,78.32
453.34,21.09,46.63,1013.03,74.8
473.76,12.17,40.6,1013.59,88.62
442.86,24.26,61.02,1009.78,76.68
450.69,24.12,58.66,1011.55,58.96
485.24,6.1,43.65,1018.07,75.85
489.95,6.3,39.33,1010.63,94.26
440.22,24.37,68.14,1005.22,59.27
451.74,20.3,58.41,1014.05,86.38
440.12,24.94,59.07,1008.89,84.79
430.81,31.41,76.09,1007.68,70.49
427.41,28.9,71.94,1007.29,64.77
429.73,31.58,66.54,1003.26,54
434.37,35.2,73.56,1006.56,45.72
447.16,20.62,68.12,1012.33,79.88
472.43,11.98,39.35,1014.97,98.05
449.91,22.17,65.61,1014.71,70.91
437.58,25.54,48.41,1010.51,55.34
480.35,9.75,42.49,1010.57,83.63
476.44,12.4,40.35,1011.46,79.49
447.67,23.74,49.21,1012.78,42.5
447.83,21.11,43.43,1010.1,62.62
473.62,8.61,41.04,1024.81,95.6
465.5,13.83,45.08,1024.2,80.52
431.58,30.97,74.22,1007.93,49.74
432.7,28.55,69.84,1003.38,67.26
441.62,27.03,65.12,1015.94,45.1
467.98,11.97,42.32,1016.95,88.32
461.6,15.15,53.82,1016.34,62.59
484.65,7.78,39.18,1024.62,85.15
466.63,15.73,38.73,1002.48,76.91
432.43,31.99,53.53,1004.98,53.53
433.59,32.49,71.32,1005.03,57.12
465.15,10.61,41.58,1021.08,93.06
436.51,26.18,68.08,1012.92,55.7
474.9,13.78,39.85,1012.7,71.99
441.34,24.8,66.51,1016.74,65.72
488.65,5.35,35.57,1027.12,80.81
472.9,10.61,37.5,1008.8,100.13
463.13,14.29,39.59,1012.36,92.38
466.88,14.24,41.4,1019.7,70.32
473.34,8.94,42.07,1018.9,85.93
488.85,5.57,42.85,1013.55,92.14
428.84,32.55,69.89,1013.87,40.09
440.75,23.95,58.46,1017.5,68.46
442.32,24.16,65.06,1013.88,58.96
467.51,11.7,43.41,1016.08,62.27
468.19,14.93,43.02,1012.11,45.56
430.46,30.61,77.17,1009.49,73.19
465.62,15.79,49.15,1020.62,76.22
454.14,14.55,41.7,1018.58,80.8
449.74,21.14,58.05,1012.98,87.27
479.24,8.23,40.77,1011.92,90.59
449.67,20.86,51.3,1012.03,92.46
488.58,3.73,39.42,1024.4,82.42
473.9,10.82,37.5,1009.23,96.62
427.06,31.12,68.14,1003.67,67.36
451,19.05,59.21,1017.99,89.53
426.82,29.93,71.85,1008.43,66.64
431.22,29.72,71.97,1008.6,79.25
471.86,10.06,39.61,1018.22,70.22
436.67,25.44,75.23,1010.71,66.44
425.28,31.91,67.83,1008.76,53.22
474.67,11.63,40.55,1022.89,87.12
451.86,20.3,62.52,1017.96,75.17
437.14,29.47,71.32,1008.07,67
447.05,21.97,65.61,1016.09,73.29
428.9,29.23,74.22,1008.49,57.88
442.11,21.84,59.39,1015.77,88.12
484.45,8.64,38.56,1016.51,66.03
448.22,20.65,57.5,1016.04,87.45
433.24,31.16,69.88,1007.01,68.28
466.3,13.32,44.9,1007.72,78.64
463.93,15.25,52.9,1014.86,76.87
449.59,17.51,68.28,1004.36,94.87
448.69,12.68,45.01,1013.86,83.26
441.07,24.48,66.25,1009.42,88.17
457.41,16.12,45.87,1008.15,86.12
455.58,20.48,39.72,1001.61,57.32
428.1,27.02,71.77,1006.38,72.1
446.56,27.34,63.78,1016.5,48.4
471.34,13.5,41.44,1015.72,68.36
431.03,28.62,70.32,1008.87,46.67
461.55,20.66,41.54,1014.68,79.7
481.28,4.71,39.42,1026.4,84.42
437.52,26.34,68.67,1006.54,72.48
487.92,9.56,44.71,1021.13,64.6
439.36,23.09,70.47,1010.76,79.89
472.32,11.35,40.73,1019.37,96.05
436.32,24.01,60.84,1018.83,63.82
489.1,8.36,40.67,1014.99,73.65
445.54,22.2,51.19,1009.2,82.95
462.09,15.67,45.17,1018.73,94.74
434.68,28.14,76.86,1000.7,70.17
446.84,21.55,44.57,1006.03,71.54
440.64,18.53,63.91,1010.26,97.8
453.76,17.16,58.86,1016.4,86.39
467.01,15.27,41.16,1009,84.12
464.79,13.62,42.34,1017.87,89.67
433.08,30.12,74.16,1013.13,63.56
434.46,24.82,74.87,1010.28,73.54
431.44,27.25,69.98,1008.55,59.55
442.4,22.07,58.95,1017.98,75.83
439.02,23.85,72.43,1008.01,88.34
428.68,31.1,68.51,1012.99,54.3
450.81,19.13,59.21,1018.32,89.66
435.77,31.33,65.18,1011.97,36.62
439.22,26.34,59.21,1013.37,58.98
480.18,10.33,40.69,1014.25,84.46
467.3,15.39,42.28,1007.35,81.35
479.35,6.65,40.69,1020.11,89.84
474.46,12.95,41.38,1021.97,53.83
473.22,11.6,39.96,1011.65,80.79
471.6,14.38,44.84,1024.59,81.68
479.57,8.39,36.3,1015.39,62.23
473.61,9.44,44.03,1009.59,86.27
440.29,24.34,73.5,1011.31,84.15
490.57,6.44,39.33,1011.8,93.5
438.23,29.27,64.69,1006.85,55.79
453.22,17.11,49.78,1007.25,100.09
468.75,12.29,42.18,1016.53,83.13
487.33,5.45,39.04,1020.07,77.05
436.61,28.07,64.09,1005.41,64.09
452.76,19.3,65.59,1014.07,81.98
429.91,28.61,69.84,1004.24,67.74
437.03,25.31,61.5,1009.31,63.31
486.84,4.62,38.44,1016.09,73.14
465.88,14.39,44.85,1014.19,75.16
482.1,5.84,40.62,1018.58,82.73
432.13,31.49,73.5,1010.71,40.16
435.05,26,70.47,1009.61,74.66
445.41,21.23,68.08,1012.82,74.57
435.71,32.15,72.29,1010.13,50.19
464.18,17.23,41.1,1002.45,68.88
429.69,35.56,68.94,1006.56,38.75
459.31,14.46,44.78,1007.64,67.03
462.7,16.88,38.58,1014.72,73.99
465.89,16.01,43.69,1017.12,62.43
445.11,24.54,44.89,1010.05,59.13
437.42,26.82,69.05,1004.62,40
434.5,32.16,66.25,1008.17,56.88
442.66,24.85,68.37,1006.5,68.37
472.67,13.91,44.58,1021.36,78.98
467.74,11.5,40.78,1023.91,86.31
440.9,25.86,59.07,1008.59,81.28
469.74,13.76,45.08,1023.77,80.48
480.21,8.16,39.72,1020.54,82.11
453.62,20.34,46.63,1013.16,79.08
461.38,17.29,44.06,1016.24,77.56
465.43,10.45,40,1019.01,89.01
425.21,31.12,67.69,1005.3,50.46
457.94,18.36,53.16,1013.14,79.89
447.15,24.98,58.05,1011.69,69.97
477.31,9.97,39.99,1010.09,95
439.55,30.66,66.25,1007.67,63.03
441.98,28.52,70.02,1010.34,54.21
479,9.45,41.4,1027.06,87.35
447.52,21.94,58.79,1010.3,88.21
444.38,23.86,74.93,1016.88,71.44
471.69,13.35,39.64,1010.1,93.3
481.58,8.84,42.49,1010.28,89.09
447.57,24.49,68.61,1010.56,64.03
446.34,20.61,63.86,1015.43,73.86
436.7,25.6,71.73,1010.15,68.99
449.77,22.18,62.91,1012.14,68.86
451.14,18.01,62.26,1011.89,89.29
472.41,9.05,40,1015.48,80.91
432.71,24.48,69.13,1002.88,69.43
477.23,10.73,40.35,1012.27,89.65
443.28,24.29,63.57,1010.29,87.3
453.36,18.94,48.7,1007.82,92.88
486.07,7.62,44.71,1020.56,69.96
431.32,29.3,74.16,1007.72,81.92
486.18,9.28,41.38,1021.96,72.22
452.02,21.17,58.16,1017.16,68.11
469.03,10.52,42.18,1014.9,95.67
464.51,14.62,44.84,1023.41,85.17
480.28,10.61,43.79,1016.03,76.33
450.5,18.32,65.94,1012.74,86.77
483.27,5.78,45.87,1012.65,88.8
431.38,30.37,67.45,1015.35,45.6
441.41,18.94,46.93,1010.22,75.45
446.27,24.77,58.41,1013.78,80.57
467.23,15.25,43.02,1012.04,41.43
479.91,5.28,45.87,1008.25,97.88
445.49,24.18,58.49,1011.3,77.82
463.14,19.27,43.14,1013.17,39.85
444,22.71,75.23,1010.48,76.86
449.48,25.03,57.5,1014.96,62.23
444.31,20.96,69.48,1011.04,82.63
446.05,26.1,62.91,1012.44,60.91
473.74,10.31,45.01,1018.42,93.67
452.52,20.55,48.98,1016.1,63.89
430.3,24.44,69.84,1005.34,80.37
461.54,16.49,49.39,1018.1,93.13
477.65,10.28,39.64,1010.45,74.15
463.4,15.95,49.25,1019.04,88.51
467.06,15.48,41.66,1009.55,66.74
457.17,19.69,56.65,1020.79,66.94
439.97,25.72,66.86,1007.47,69.14
426.18,27.4,69.13,1001.4,82.47
471.07,10.03,42.02,998.6,99.9
464.15,14.39,44.84,1023.55,91.14
453.99,21.01,50.9,1012.24,70.82
479.62,10.12,40,1021.15,91.67
443.7,22.89,74.78,1009.79,81.57
464.86,14.53,39,1016.48,76.36
453.31,17.78,52.08,1006.9,100.09
440.51,29.07,71.64,1006.07,69.53
473.4,13.05,44.34,1018.47,81.2
436.17,31.74,67.32,1013.69,36.59
474.77,12.25,41.38,1021.81,59
463.6,13.48,40.73,1017.59,94.81
469.55,11.8,43.22,1008.57,78.01
454.62,20.82,57.76,1019.15,72.46
453,17.4,63.09,1020.84,92.58
467.6,10.84,40.62,1015.53,60.9
451.4,18.87,44.06,1013.42,68.78
440.68,24.86,60.77,1016.85,71.24
473.54,9.61,44.03,1008.3,91.36
466.73,16.52,43.7,1015.08,58.36
458.99,14.91,40.73,1017.44,86.91
433.59,28.32,68.12,1011.62,46.75
477.68,11.44,40.55,1023.37,88.43
451.8,19.22,62.1,1019.43,79.19
433.61,27.07,77.95,1012.34,76.64
462.6,15.84,49.69,1015.14,90.41
441.3,28.75,64.84,1009.61,58.24
467.54,12.87,39.3,1020.64,74.38
452.41,26.05,58.59,1012.32,49.83
442.46,23.97,62.44,1013.64,88.5
455.55,19.94,58.96,1014.16,66.27
441.85,21.81,60.27,1015.93,91.38
465.09,16.71,42.99,1007.72,75.35
470.05,11.74,40.71,1020.64,82.15
463,19.31,44.71,1016.13,30.59
491.81,8.85,40.43,1025.68,80.42
448.34,19.78,63.09,1019.01,78.39
471.38,10.59,37.5,1013.14,81.56
443.61,21.97,58.95,1017.78,76.95
433.53,31.3,67.17,1007.27,62.99
448.32,22.75,58.86,1016,67.34
474.91,10.58,42.34,1022.32,94.01
438.92,24.3,69.94,1007.02,62.14
475.37,12.39,44.58,1016.38,84.95
450.13,32.31,62.04,1010.41,39.39
464.07,14.1,39.16,1008.19,74.05
451.86,22.16,64.63,1020.81,68.47
466.03,16.69,46.18,1010.8,96.8
467.32,15.56,41.1,1004.65,84.58
427.39,27.23,71.77,1006.59,77.94
435.72,31.86,69.59,1008.61,59.74
430.11,31.56,66.44,1008.91,64.16
470.56,12.52,40.24,1020.45,97.41
431.48,34.96,68.94,1006.17,59.26
472.9,10.57,41.26,1008.32,97.96
473.33,11.2,35.76,1019.24,64.59
444.95,23.93,68.28,1005.16,69.91
466.75,10.52,41.01,1020.35,93.58
442.45,22.04,59.14,1017.34,84.75
437.48,30.2,70.02,1009.85,63.39
434.35,28.56,69.51,1012.45,46.59
458.62,18.48,52.05,1012.41,68.2
430.33,30.69,71.98,1004.53,65.86
439.13,26.67,70.94,1007.7,56.56
480.05,9.88,39.66,1017.81,76.05
474.71,10.75,40.81,1015.93,79.27
482.89,9.2,39.82,1013.19,91.25
429.46,31.01,67.83,1007.95,43.57
478.07,11.05,40.75,1016.55,87.08
460.09,20.13,40.33,1005.31,85.42
450.39,20.95,44.89,1010.48,67.97
480.2,8.88,36.66,1026.61,76.16
446.33,24.45,68.63,1013.38,45.35
448.73,22.76,49.21,1014.35,48.85
472.62,10.36,37.83,1005.87,98.56
479.11,11.16,40.05,1014.95,88.38
435.41,25.38,74.67,1016.61,81.34
463.65,17.35,52.72,1026.31,58.01
447.57,24.56,51.86,1014.43,68.85
428.52,26.41,68.24,1010.6,77.79
438.52,26.12,49.02,1008.63,72.04
481.53,6.64,39.04,1018.84,74.94
479.95,8.25,43.14,1011.3,87.1
439.53,21.04,69.48,1011.07,89.92
435.61,29.75,74.87,1009.1,56.5
430.46,30.72,71.58,1009.98,50.39
442.9,25.98,60.95,1014.5,48.01
481.83,10.67,45,1022.99,85.91
470.49,13.74,34.03,1018.69,67.34
477.5,11.46,38.91,1012.34,77.37
464.09,14.04,48.79,1017.62,75.25
448.13,22.64,62.44,1011.82,75.07
448.18,20.94,49.02,1008.91,87.32
456.28,20,39.53,1007.59,62.09
466.39,13.21,43.71,1024.5,86.59
450.29,18.63,48.92,1011.37,71.72
471.17,14.78,42.86,1015.32,84.75
440.38,25.47,56.89,1013.02,63.21
442.22,26.39,66.05,1018.24,61.27
432.39,28.95,66.75,1018.22,60.48
438.97,27.33,52.84,1005.88,56.16
462.6,13.83,44.45,1021.5,68.75
442.94,26.81,56.57,1013.68,61.6
473.31,11.86,40.55,1019.82,91.45
491.25,4.24,39.9,1009.28,96.74
436.64,27.66,76.86,1001.31,69.47
440.1,26.31,63.77,1014.15,69.36
442.95,22.22,66.05,1016.15,80.58
436.16,23.15,69.48,1011.07,85.83
442.69,24.31,65.94,1011.5,61.61
458.78,17.01,49.15,1021.83,84.02
468.28,13.63,43.5,1022.12,84.32
474.58,12.88,40.64,1020.76,92.58
484.18,6.74,36.08,1020.36,86.98
463.06,16.05,43.14,1010.67,79.36
453.09,19.89,44.9,1008.12,67.3
477.79,11.15,40.64,1020.65,97.95
444.44,20.85,59.21,1012.9,75.97
470.92,12.43,40.27,1007.08,61.56
435.27,25.97,70.32,1007.48,57.01
468.61,14.95,42.99,1008.75,90.76
474.32,10.22,45.01,1018.27,93.62
466.47,13.93,40.2,1013.41,89.86
428.26,30.97,67.9,1005.98,55.6
466.2,15.55,43.02,1011.97,44.66
451.28,20.42,45.01,1012.23,66.5
488.27,6.77,39.81,1017.01,87.68
456.86,16.26,44.89,1010.48,86.57
452.94,20.5,49.69,1009.6,70.81
435.75,28.84,73.03,1013.99,76.05
458.26,15.31,40.66,1016.46,84.64
443.47,22.69,58.46,1017.74,75.21
486.79,5.68,40.35,1012.11,92.86
467.71,15,41.35,1006.6,86.95
430.98,30.76,73.17,1009.89,50.43
451.44,22.06,64.15,1021.07,68.66
436.4,28.29,68.67,1005.46,69.22
467.05,10.92,40.92,1021.84,83.03
476.1,11.67,41.93,1019.81,82.58
445.92,25.23,69.34,1009.51,82.87
476.97,11.82,41.54,1019.96,67.65
435.05,29.84,74.87,1009.64,61.39
481.89,8.33,38.08,1018.94,73.78
444.17,23.28,69.51,1013.31,53
434.51,31.25,68.94,1005.99,49.61
458.46,14.82,40,1016.32,66.3
434.65,28.94,68.67,1005.39,75.24
467.1,15.54,41.96,1011.78,97.46
469.65,9.92,40.64,1020.39,95.41
450.46,20.61,60.1,1010.84,80.57
471.05,14.22,37.85,1011.24,88.49
481.52,7.82,40.72,1022.17,88.13
471.26,11.31,42.02,1001.18,94.86
479.21,10.72,41.17,1019.68,60.71
427.21,28.35,70.32,1009.22,47.13
436.62,24.78,66.49,1010.55,68.12
432.1,34.18,78.05,1010.71,66.77
480.59,5.85,40.77,1022.44,84.77
434.18,26.9,77.95,1017.47,75.58
479.65,10.3,41.46,1018.21,86.17
444.02,21.47,60.77,1018.06,85.73
461.14,18.37,51.86,1018.8,74.3
477.5,11.43,40.22,1010.84,81.04
483.03,5.15,40.78,1025.34,95.84
435.66,25.35,74.33,1015.29,77.84
442.13,25.38,63.87,1018.7,52.48
433.25,26.14,72.99,1007.49,81.72
477.2,11.1,40,1021.29,86.58
457.74,16.7,50.66,1014.86,94.87
442.28,26.3,51.43,1012.05,63.62
462.22,16.82,49.15,1020.68,72.07
471.05,10.96,37.5,1013.46,79.54
471.33,12.2,39.72,1018.07,54.83
438.56,23.09,73.5,1011.4,89.76
473.6,13,39.28,1016.7,81.94
467.14,13.75,44.47,1029.63,70.74
443.06,23.78,69.71,1008.79,83.17
446.86,23.96,47.43,1008.38,63.55
447.06,23.66,62.08,1022.42,64.13
458.46,18.32,42.18,1002.27,95.99
474.03,11.21,41.06,1021.75,77
463.6,14.66,41.76,1022.12,78.13
457.28,17.53,50.66,1012.74,91.51
453.54,20.34,59.8,1015.18,80.21
433.13,29.95,67.25,1017.68,51.91
461.07,15.78,43.99,1022.19,83.7
432.47,24.28,71.98,1006.34,90.45
453.39,16.73,65.94,1013.79,90.19
471.19,14.26,42.86,1011.33,88.37
438.7,25.21,59.21,1013.19,62.85
473.26,12.5,43.67,1013.99,90.91
480.47,9.83,38.56,1017.35,62.8
441.15,21.96,69.94,1011.09,80.27
444.8,27.19,62.91,1011.57,53.66
449.11,21.61,58.62,1017.61,76.07
465.28,19.35,39.39,1013.91,61.53
468.4,13.16,54.3,1017.33,82.43
440.84,26.88,74.78,1010.42,64.81
466.02,15.37,41.96,1011.58,96.76
463.69,18.16,39.99,1007.73,70.54
456.78,17.7,50.88,1015.44,89.57
474.02,11.94,44.2,1017.97,82.93
466.26,13.33,38.47,1015.42,58.27
